縄文時代の遺跡,36.75063534,137.0228746,縄文時代の遺跡です。縄文時代から人々はここで生活していたのですね<br>,toshiColor01-s2.gif,rekishi_02.png
朝陽橋,36.74941137,137.0223534,今は朱色の太鼓橋ですが、昔は有事に備えた可動式の橋「貫土橋」でした。橋を上下させて敵の攻撃に対処するのですね。,toshiColor01-s2.gif,rekishi_03.png
凛々しい利長公,36.74971225,137.0208943,馬にまたがった利長公の銅像です。長身で美男子の大名でしたので、京都や大阪の街ではすごく女性にモテたそうです。,toshiColor01-s2.gif,rekishi_04.png
石垣,36.7477823,137.0203954,当時を思い出させる数少ない城跡です。<br>このような石垣は公園内にとどまらず、和田川の河底からも発見されたそうです。<br>,toshiColor01-s2.gif,rekishi_05.png
敵の侵入を防ぐ道２,36.74793274,137.0205885,射水神社へ通じる道は、本丸へ通じる道でもあります。<br>この道、実は徐々に上り坂になっているのです。敵が疲れるように、こんなところにも工夫されているのですね。<br>,toshiColor01-s2.gif,rekishi_06.png
敵の侵入を防ぐ道１,36.74717192,137.021656,動物園から博物館へ向かっている道は、少しクランクになっています。これは敵が直進してくるのを防ぐためです。道の形にも工夫がされているのですね。,toshiColor01-s2.gif,rekishi_07.png
【明丸】動物園,36.74779519,137.0227933,今は動物園ですが、昔ここは兵士の集合場所で火薬蔵がありました。合戦の時に備えて、たくさん保管されていたそうです。ポニーやカピバラさんがいる今の風景からは想像ができませんね。,rekishi_icon_s32_blue.png,rekishi_08.png
【本丸】,36.7493211,137.0208085,利長公の本丸御殿がありました。廃城後には米蔵、塩蔵、本丸門、番所がありました。,rekishi_icon_s32_blue.png,rekishi_09.png
内堀と外堀,36.74707736,137.0214844,内堀も外堀も残っているお城は数少ないのです。このお堀が古城公園の特徴の一つです。,toshiColor01-s2.gif,
石垣,36.74894285,137.0203149,石垣が間近でみれます。くれぐれも座らないでね。,toshiColor01-s2.gif,rekishi_11.png
敵の侵入を防ぐ道３,36.74837117,137.0205134,本丸へ通じる道は、緩やかな上り坂が続いています。ここで最後の防衛をします。,toshiColor01-s2.gif,rekishi_12.png
【二の丸】 高岡市民会館,36.74772212,137.0193386,利長公夫人　永姫（織田信長の娘）の屋敷がありました,rekishi_icon_s32_blue.png,
【大手口】,36.74638961,137.0204759,城の正門,rekishi_icon_s32_blue.png,
【搦手口】,36.74822933,137.0236194,,rekishi_icon_s32_blue.png,
【三の丸】,36.74914917,137.0240486,,rekishi_icon_s32_blue.png,
【小竹藪】,36.75066216,137.0232975,御城外とよばれ兵士の集合場所でした,rekishi_icon_s32_blue.png,
【南外堀】,36.74685384,137.0194566,,rekishi_icon_s32_blue.png,
【枡形堀】,36.74681945,137.0218921,,rekishi_icon_s32_blue.png,
【内堀】,36.7477651,137.0218599,,rekishi_icon_s32_blue.png,
【北外堀】,36.74865916,137.0242202,,rekishi_icon_s32_blue.png,
【池の端堀】（西外堀）,36.74969076,137.0199823,築城時、堀の外側は沼地でした。敵が攻めにくい為、城の三方は2重城ですが、本丸西側は池の端堀だけになりました。,rekishi_icon_s32_blue.png,
【鍛冶丸】 高岡市立博物館（入館無料）,36.74653575,137.0211303,通路が屈折し、門が二重のつくりになり、厳重な構えになっていました。<br>敵兵の侵入を防ぎ、城外へでる味方の人員も把握できる仕組みになっていました,rekishi_icon_s32_blue.png,
